"id","name","sex","max_health","attack","defense","agility","experience","gold","weapon","armor"
"169","Yineu","f","250","10","10","10","0","0","1","1"
"170","Ler'rake","m","250","10","10","10","0","0","1","1"
"171","Ton'any","f","250","10","10","10","0","0","1","1"
"172","Rynz","f","250","10","10","10","0","0","1","1"
"173","Detinine","f","250","10","10","10","0","0","1","1"
"174","Beleia","f","250","10","10","10","0","0","1","1"
"175","Mirotug","m","250","10","10","10","0","0","1","1"
"176","Streyt","f","250","10","10","10","0","0","1","1"
"177","Lomada","m","250","10","10","10","0","0","1","1"
"178","Ineald","f","250","10","10","10","0","0","1","1"
"179","Wor'pero","f","250","10","10","10","0","0","1","1"
"180","Zeskel","m","250","10","10","10","0","0","1","1"
"181","Naeg","f","250","10","10","10","0","0","1","1"
"182","Irchee","f","250","10","10","10","0","0","1","1"
"183","Whuik","m","250","10","10","10","0","0","1","1"
"184","Rois","f","250","10","10","10","0","0","1","1"
"185","Omeng","m","250","10","10","10","0","0","1","1"
"186","Xosuny","f","250","10","10","10","0","0","1","1"
"187","Polrd","m","250","10","10","10","0","0","1","1"
"188","Bofege","m","250","10","10","10","0","0","1","1"
"189","Rillcha","f","250","10","10","10","0","0","1","1"
"190","Enad","m","250","10","10","10","0","0","1","1"
"191","Ormny","m","250","10","10","10","0","0","1","1"
"192","Athikim","m","250","10","10","10","0","0","1","1"
"193","Aldion","m","250","10","10","10","0","0","1","1"
"194","Perqueash","m","250","10","10","10","0","0","1","1"
"195","Therengwar","f","250","10","10","10","0","0","1","1"
"196","Athen","f","250","10","10","10","0","0","1","1"
"197","Fytas","m","250","10","10","10","0","0","1","1"
"198","Skel'um","f","250","10","10","10","0","0","1","1"
"199","Ryimtan","m","250","10","10","10","0","0","1","1"
"200","Ustur","m","250","10","10","10","0","0","1","1"
"201","Ranexi","m","250","10","10","10","0","0","1","1"
"202","Quigh","m","250","10","10","10","0","0","1","1"
"203","Vesest","f","250","10","10","10","0","0","1","1"
"204","Snalko","m","250","10","10","10","0","0","1","1"
