"id","name","attack","defense","max_health","health","gold","experience","spawn"
"69","Kobold","30","60","110","110","25","22","2"
"70","Kobold","30","60","110","110","25","22","2"
"71","Kobold","30","60","110","110","25","22","2"
"72","Kobold","30","60","110","75","25","22","2"
"73","Kobold","30","60","110","110","25","22","2"
"74","Kobold","30","60","110","110","25","22","2"
"75","Kobold","30","60","110","110","25","22","2"
"76","Kobold","30","60","110","110","25","22","2"
"77","Kobold","30","60","110","63","25","22","2"
"78","Kobold","30","60","110","110","25","22","2"
"79","Kobold","30","60","110","110","25","22","2"
"80","Kobold","30","60","110","110","25","22","2"
"81","Kobold","30","60","110","22","25","22","2"
"82","Kobold","30","60","110","110","25","22","2"
"83","Kobold","30","60","110","110","25","22","2"
"84","Kobold","30","60","110","109","25","22","2"
"85","Kobold","30","60","110","110","25","22","2"
"86","Gargoyle","44","30","90","90","20","25","2"
"87","Gargoyle","44","30","90","74","20","25","2"
"88","Gargoyle","44","30","90","90","20","25","2"
"89","Gargoyle","44","30","90","56","20","25","2"
"90","Gargoyle","44","30","90","90","20","25","2"
"91","Gargoyle","44","30","90","90","20","25","2"
"92","Gargoyle","44","30","90","90","20","25","2"
"93","Gargoyle","44","30","90","11","20","25","2"
"94","Gargoyle","44","30","90","90","20","25","2"
"95","Gargoyle","44","30","90","90","20","25","2"
"96","Ghost","40","65","150","150","0","40","2"
"97","Ghost","40","65","150","150","0","40","2"
"98","Ghost","40","65","150","33","0","40","2"
"99","Ghost","40","65","150","150","0","40","2"
"100","Ghost","40","65","150","150","0","40","2"
"101","Ghost","40","65","150","150","0","40","2"
"102","Ghost","40","65","150","150","0","40","2"
"103","Ghost","40","65","150","150","0","40","2"
"104","Ghost","40","65","150","150","0","40","2"
"105","Ghost","40","65","150","150","0","40","2"
"106","Magog","60","60","60","60","60","20","2"
"107","Magog","60","60","60","60","60","20","2"
"108","Magog","60","60","60","60","60","20","2"
"109","Magog","60","60","60","60","60","20","2"
"110","Magog","60","60","60","60","60","20","2"
"111","Magog","60","60","60","12","60","20","2"
"112","Magog","60","60","60","60","60","20","2"
"113","Magog","60","60","60","60","60","20","2"
"114","Magog","60","60","60","60","60","20","2"
"115","Magog","60","60","60","60","60","20","2"
"116","Magog","60","60","60","60","60","20","2"
"117","Magog","60","60","60","60","60","20","2"
"118","Magog","60","60","60","60","60","20","2"
"119","Magog","60","60","60","60","60","20","2"
"120","Magog","60","60","60","60","60","20","2"
"121","Magog","60","60","60","60","60","20","2"
"122","Wraith","75","25","75","75","20","35","2"
"123","Wraith","75","25","75","75","20","35","2"
"124","Wraith","75","25","75","75","20","35","2"
"125","Wraith","75","25","75","75","20","35","2"
"126","Wraith","75","25","75","75","20","35","2"
"127","Wraith","75","25","75","75","20","35","2"
"128","Troll","95","70","150","150","80","50","3"
"129","Troll","95","70","150","150","80","50","3"
"130","Troll","95","70","150","104","80","50","3"
"131","Troll","95","70","150","150","80","50","3"
"132","Troll","95","70","150","150","80","50","3"
"133","Troll","95","70","150","150","80","50","3"
"134","Troll","95","70","150","150","80","50","3"
"135","Troll","95","70","150","150","80","50","3"
"136","Troll","95","70","150","150","80","50","3"
"137","Golem","100","75","135","135","30","50","3"
"138","Golem","100","75","135","135","30","50","3"
"139","Golem","100","75","135","135","30","50","3"
"140","Golem","100","75","135","135","30","50","3"
"141","Golem","100","75","135","105","30","50","3"
"142","Golem","100","75","135","135","30","50","3"
"143","Golem","100","75","135","135","30","50","3"
"145","Golem","100","75","135","132","30","50","3"
"146","Golem","100","75","135","135","30","50","3"
"147","Golem","100","75","135","135","30","50","3"
"148","Golem","100","75","135","135","30","50","3"
"149","Demon","150","45","100","100","55","55","3"
"150","Demon","150","45","100","100","55","55","3"
"151","Demon","150","45","100","100","55","55","3"
"152","Demon","150","45","100","56","55","55","3"
"153","Demon","150","45","100","100","55","55","3"
"154","Demon","150","45","100","100","55","55","3"
"155","Demon","150","45","100","100","55","55","3"
"156","Troglodyte","120","80","180","180","45","58","3"
"157","Troglodyte","120","80","180","180","45","58","3"
"158","Troglodyte","120","80","180","180","45","58","3"
"159","Troglodyte","120","80","180","180","45","58","3"
"160","Troglodyte","120","80","180","180","45","58","3"
"161","Troglodyte","120","80","180","122","45","58","3"
"162","Troglodyte","120","80","180","180","45","58","3"
"163","Troglodyte","120","80","180","180","45","58","3"
"164","Troglodyte","120","80","180","180","45","58","3"
"165","Valkyrie","100","110","220","220","50","60","3"
"166","Valkyrie","100","110","220","220","50","60","3"
"167","Valkyrie","100","110","220","220","50","60","3"
"168","Valkyrie","100","110","220","220","50","60","3"
"169","Valkyrie","100","110","220","220","50","60","3"
"170","Valkyrie","100","110","220","220","50","60","3"
"171","Valkyrie","100","110","220","220","50","60","3"
"172","Valkyrie","100","110","220","198","50","60","3"
"173","Valkyrie","100","110","220","220","50","60","3"
"174","Valkyrie","100","110","220","220","50","60","3"
"175","Valkyrie","100","110","220","220","50","60","3"
"176","Valkyrie","100","110","220","220","50","60","3"
"177","Valkyrie","100","110","220","220","50","60","3"
"178","Valkyrie","100","110","220","220","50","60","3"
"179","Centaur","165","190","150","150","44","65","3"
"180","Centaur","165","190","150","150","44","65","3"
"181","Centaur","165","190","150","150","44","65","3"
"182","Centaur","165","190","150","150","44","65","3"
"183","Centaur","165","190","150","150","44","65","3"
"184","Centaur","165","190","150","150","44","65","3"
"185","Centaur","165","190","150","150","44","65","3"
"186","Centaur","165","190","150","150","44","65","3"
"187","Gorgon","185","200","250","250","60","68","4"
"188","Gorgon","185","200","250","250","60","68","4"
"189","Gorgon","185","200","250","250","60","68","4"
"190","Gorgon","185","200","250","219","60","68","4"
"191","Gorgon","185","200","250","250","60","68","4"
"192","Gorgon","185","200","250","250","60","68","4"
"193","Gorgon","185","200","250","250","60","68","4"
"194","Gorgon","185","200","250","250","60","68","4"
"195","Cyclops","240","285","230","230","40","72","4"
"196","Cyclops","240","285","230","230","40","72","4"
"197","Cyclops","240","285","230","230","40","72","4"
"198","Cyclops","240","285","230","230","40","72","4"
"199","Cyclops","240","285","230","57","40","72","4"
"200","Cyclops","240","285","230","230","40","72","4"
"201","Cyclops","240","285","230","230","40","72","4"
"202","Cyclops","240","285","230","230","40","72","4"
"203","Hydra","290","300","250","250","50","75","4"
"204","Hydra","290","300","250","250","50","75","4"
"205","Hydra","290","300","250","250","50","75","4"
"206","Hydra","290","300","250","250","50","75","4"
"207","Hydra","290","300","250","250","50","75","4"
"208","Hydra","290","300","250","202","50","75","4"
"209","Hydra","290","300","250","250","50","75","4"
"210","Hydra","290","300","250","250","50","75","4"
"211","Hydra","290","300","250","250","50","75","4"
"212","Hydra","290","300","250","48","50","75","4"
"213","Hydra","290","300","250","250","50","75","4"
"214","Hydra","290","300","250","250","50","75","4"
"215","Hydra","290","300","250","250","50","75","4"
"216","Hydra","290","300","250","1","50","75","4"
"217","Hydra","290","300","250","250","50","75","4"
"218","Pterodactyl","405","360","200","200","20","77","4"
"219","Pterodactyl","405","360","200","200","20","77","4"
"220","Pterodactyl","405","360","200","200","20","77","4"
"221","Pterodactyl","405","360","200","200","20","77","4"
"222","Pterodactyl","405","360","200","6","20","77","4"
"223","Pterodactyl","405","360","200","200","20","77","4"
"224","Pterodactyl","405","360","200","200","20","77","4"
"225","Titan","680","560","800","800","0","250","5"
"226","Titan","680","560","800","800","0","250","5"
"227","Titan","680","560","800","799","0","250","5"
"228","Titan","680","560","800","800","0","250","5"
"229","Titan","680","560","800","800","0","250","5"
"230","Minotaur","520","490","590","590","120","200","5"
"231","Minotaur","520","490","590","590","120","200","5"
"232","Minotaur","520","490","590","590","120","200","5"
"233","Minotaur","520","490","590","590","120","200","5"
"234","Minotaur","520","490","590","590","120","200","5"
"235","Minotaur","520","490","590","590","120","200","5"
"236","Minotaur","520","490","590","590","120","200","5"
"237","Behemoth","610","310","890","890","105","280","5"
"238","Behemoth","610","310","890","890","105","280","5"
"239","Behemoth","610","310","890","890","105","280","5"
"240","Behemoth","610","310","890","890","105","280","5"
"241","Behemoth","610","310","890","890","105","280","5"
"242","Behemoth","610","310","890","890","105","280","5"
"243","Behemoth","610","310","890","890","105","280","5"
"244","Behemoth","610","310","890","890","105","280","5"
"245","Behemoth","610","310","890","890","105","280","5"
"246","Behemoth","610","310","890","890","105","280","5"
"247","Behemoth","610","310","890","890","105","280","5"
"248","Wyvern","785","610","725","725","200","300","5"
"249","Wyvern","785","610","725","725","200","300","5"
"250","Wyvern","785","610","725","725","200","300","5"
"251","Wyvern","785","610","725","725","200","300","5"
"252","Wyvern","785","610","725","725","200","300","5"
"253","Wyvern","785","610","725","725","200","300","5"
"254","Wyvern","785","610","725","725","200","300","5"
"255","Wyvern","785","610","725","725","200","300","5"
"256","Red Dragon","2500","2500","1000","1000","1500","500","1"
"257","Green Dragon","2500","4500","1000","1000","1500","650","2"
"258","Brown Dragon","3000","3000","2000","2000","1500","650","3"
"259","Black Dragon","5000","5000","3000","3000","2500","850","4"
"260","White Dragon","7500","6000","4000","4000","5000","1000","5"
