"id","health","profession","city","person"
"146","250","Blacksmith","21","156"
"147","250","Apothecary","21","157"
"148","250","Tailor","21","158"
"149","250","Innkeeper","21","159"
"150","250","Craftsman","21","160"
"151","250","Pet Trainer","21","161"
"152","250","Elder","21","162"
"153","250","Blacksmith","22","163"
"154","250","Apothecary","22","164"
"155","250","Tailor","22","165"
"156","250","Innkeeper","22","166"
"157","250","Craftsman","22","167"
"158","250","Pet Trainer","22","168"
"159","250","Elder","22","169"
"160","250","Blacksmith","23","170"
"161","250","Apothecary","23","171"
"162","250","Tailor","23","172"
"163","250","Innkeeper","23","173"
"164","250","Craftsman","23","174"
"165","250","Pet Trainer","23","175"
"166","250","Elder","23","176"
"167","250","Blacksmith","24","177"
"168","250","Apothecary","24","178"
"169","250","Tailor","24","179"
"170","250","Innkeeper","24","180"
"171","250","Craftsman","24","181"
"172","250","Pet Trainer","24","182"
"173","250","Elder","24","183"
"174","250","Blacksmith","25","184"
"175","250","Apothecary","25","185"
"176","250","Tailor","25","186"
"177","250","Innkeeper","25","187"
"178","250","Craftsman","25","188"
"179","250","Pet Trainer","25","189"
"180","250","Elder","25","190"
"181","250","Blacksmith","26","191"
"182","250","Apothecary","26","192"
"183","250","Tailor","26","193"
"184","250","Innkeeper","26","194"
"185","250","Craftsman","26","195"
"186","250","Pet Trainer","26","196"
"187","250","Elder","26","197"
"188","250","Blacksmith","27","198"
"189","250","Apothecary","27","199"
"190","250","Tailor","27","200"
"191","250","Innkeeper","27","201"
"192","250","Craftsman","27","202"
"193","250","Pet Trainer","27","203"
"194","250","Elder","27","204"
